"","2","3","4","5","6","7","8","method"
"Connectivity",0,1588.01468253968,2380.33333333333,2915.61547619048,2923.40119047619,3322.03611111111,3367.14841269841,"kmeans"
"Dunn",1.04004681381026,0.0166756146045798,0.00213615243874514,0.00873225161969345,0.008996591576005,0.0115494740484251,0.0117648388916215,"kmeans"
"Silhouette",0.758156014530812,0.120092019673177,0.113566957630204,0.109590315380546,0.109924914564689,0.107439980300311,0.0993255011646054,"kmeans"
"Connectivity1",1275.81666666667,2563.8880952381,2842.82658730159,3548.0246031746,3516.93095238095,3810.32817460317,3987.3126984127,"PAM"
"Dunn1",0.0150513608296614,0.00534912535023195,0.00534912535023195,0.00324537538027495,0.00552128502957935,0.0154586592542391,0.00552128502957935,"PAM"
"Silhouette1",0.0961756325557823,0.0966228096386913,0.0840166814884464,0.0796023665757355,0.0856180325148209,0.0743812536591646,0.0715042704642271,"PAM"
"Connectivity2",0,2.92896825396825,5.85793650793651,8.78690476190476,11.715873015873,14.9543650793651,18.0261904761905,"AGNES"
"Dunn2",1.04004681381026,0.336032944124765,0.344086577323942,0.336548856056103,0.320711275802787,0.313911426489055,0.311861638788292,"AGNES"
"Silhouette2",0.758156014530812,0.395461844716844,0.381603575364725,0.344980908487119,0.34041279488609,0.333149177628048,0.273155381021006,"AGNES"
"Connectivity3",0,1790.93412698413,2506.14563492064,2635.06150793651,2696.28968253968,3090.02261904762,3240.80595238095,"DIANA"
"Dunn3",1.04004681381026,0.0110730749852717,0.0146533302673032,0.0148620793811794,0.0160037454830059,0.016527588169674,0.0172675968889485,"DIANA"
"Silhouette3",0.758156014530812,0.113825592778492,0.108534707327857,0.0888166524035267,0.087917937724272,0.084923142100065,0.0831674353946437,"DIANA"
