"","k","KMeans","AGNES","PAM","DIANA"
"1",2,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"2",3,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"3",4,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"4",5,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"5",6,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"6",7,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"7",8,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"8",9,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
"9",10,0.287072264828314,0.350730278174648,0.328411540544093,0.309999667542886
